processed,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
every time new anthony weiner revelation break bill clinton say prayer thanks texting dming not exist heyday,0,0,1,0,0,0,0,0
just happened need smoke burning,1,0,1,0,0,1,0,0
one one threaten violence phedophiliac support constitution violation proposes,1,1,1,1,0,0,0,0
animosity toward hillary come conspiracy theory perception animosity toward trump based ays,1,1,1,0,1,0,0,0
lethal weapon suicidal vet ptsd so fucking funny let hilarity begin,0,0,0,0,1,0,0,0
fuck supposed no lunch no dinner no money work furious hangry day5,1,0,1,0,0,1,0,0
sorry burst bubble not century anymore welcome 21st century,0,1,0,0,1,0,0,0
rather someone could help concern clouded green eye not seen girl alone wood,0,1,0,1,0,1,1,0
very shy real lifeand lately feel like everyone thing not fit anywhere feel lonely,0,1,0,1,0,1,0,0
know pro actively playful want press boob face tatenashi not saying no though 3,0,1,0,0,1,0,0,0
honestly offended,1,0,1,0,0,1,0,0
not watched favorite youtubers month honestly made depression so much worse,0,1,0,0,0,1,0,0
going make life mission discourage anyone using rob blind,1,0,1,0,0,0,0,0
misery love company church ought place find none pastor kris theobald joy rejoice,0,1,0,0,1,0,0,1
cell not hold charge sadness so,0,1,0,0,0,1,0,0
long ago shudder think,0,0,1,1,0,0,0,0
shake head remove ideologically bankrupt opportunistic establishment burning bridge social contract,1,0,1,0,0,0,0,0
great time skywalkers open gym tonight come every wednesday 7 8 hillsboro train u opengym cheer tumbling,0,1,0,0,1,0,0,0
not just treat viewer watch janak simply treat soul mind thoughts hearty respect,0,1,0,0,1,0,0,1
well cucks among rank agree equally outrage black youth shot harambe,1,1,1,0,0,1,0,0
two older boy elated toddler terrified pic poor little face peeping hole basket,0,1,0,1,0,1,0,0
shit hurting heart serious,1,0,0,0,0,1,0,0
offered gold silver said nah bitcoin,0,0,1,0,0,0,0,0
quinn short hair make sad glee,0,0,0,0,0,1,0,0
would height hilarity not fact adult swan highly likely attack,0,0,0,0,1,0,0,0
bad news family life still hard awful depression atleast ihave buffy,0,1,0,1,0,1,0,0
fault worked hard stayed course eventually paid no so let known count,1,1,0,0,1,0,0,0
revolting,1,0,1,0,0,1,0,0
still respect suppose so little gleeful day so take good,0,1,0,0,1,0,0,1
dark room 58 minute failed every time tried developing photo so frustrated,1,0,1,0,0,1,0,0
another joyful encounter tribez castlez just met mouchole ogre cook want know download game find,0,1,0,0,1,0,0,0
ashamed ally pakistan sacrificed almost 500 civilian siding war terror,1,0,0,1,0,0,0,0
sioux valley win home competit cheer invite score 158 dell rapids second 138,0,0,0,0,1,0,0,0
twd come soon happy,0,0,0,0,1,0,0,0
interesting topic evening sadness low mood mh chat,0,0,0,0,0,1,0,0
yeah tonight time weekend mix set alarm 8pm house deephouse ibiza,0,1,0,0,1,0,0,0
probably irritate hit always talking could probably gi 2 shit laughing loud,1,0,1,0,1,0,0,0
remember ta gamedev program said temper tantrum class time laughing loud,1,1,0,0,1,0,0,0
texan played horrible bad play calling bad protection ball bad coaching bad defense bad overall performance texan,1,0,1,1,0,1,0,0
ill vip ticket not wait meet never met famous person admire,0,1,0,0,1,0,0,0
fear fearsome fury forest fawn,1,0,0,1,0,0,0,0
source mindset philosophy thoughtsbecomethings news lifehacks li fuck e please problem solving,0,1,0,0,1,0,0,0
get better without explanation just wake one morning just happy totally utterly elated,0,1,0,0,1,0,0,0
pain aspect human evolution evolution consciousness attachment desire apathy sentimentality tear,0,1,0,1,0,1,0,0
henderson showing time hard leaf go missing fuck l cat swan seenitbefore lion blues,0,1,1,0,0,1,0,0
bloody parking ticket,1,0,1,0,0,0,0,0
happened uicide tweet joke obviously could offend anyone,1,0,0,1,0,1,1,0
hmm not know many yf short confidence wish one shy,0,1,0,1,0,1,0,0
gemma simmons bright spot premiere so far agentsof shiel,0,1,0,0,1,0,0,1
three depress,0,0,0,0,0,1,0,0
oh god no awful mine not last long thank god thank xx,0,1,0,0,1,0,0,0
nice bot wsjnordics make world more joyful place nice bot mpn demi lovato,0,1,0,0,1,0,0,1
shocking service call centre staff evening transfer cut waiting forever speak someone,1,0,1,0,0,0,0,0
bare video online anyone get rehabilitated anyone actually get help affliction jut get twitter video,0,0,0,0,0,0,0,0
just eat way sobriety hell journey back sober,0,0,0,1,0,1,0,0
swear god worst drug loving someone physical withdrawal not bad emotional withdrawal sting little more,0,1,0,0,0,1,0,0
back cardiff amazing 10 day away depressing,0,1,0,0,0,1,0,0
brother pine green forget nots mediumpurple pickering not lit so,0,0,0,0,0,0,0,0
want pour tear someone right so tired upset,0,1,0,0,0,1,0,0
onus pakistan meaindia uri terror attack,1,0,0,1,0,0,0,0
shame showing elephant hunted killed shocking,1,0,1,0,0,1,0,0
resent tired annoyed word wiener splashed across news slam dunk,1,0,0,0,1,0,0,0
not truck delight delight truck,0,1,0,0,1,0,0,0
pine colada starburst nasty not,1,0,1,0,0,0,0,0
watching avatar wondering took so long watch collapse joyous heap,0,0,0,0,1,0,0,0
aberdeen st johnstone let u see punt furthest,0,1,0,0,0,0,0,0
question cheerleader age make senior year cheer more memorable,0,1,0,0,1,0,0,0
2 day go pack go 23 day go gipe go so excited smiling,0,1,0,0,1,0,0,1
cosplaying properly first time saturday pretty nervous,0,1,0,1,1,0,0,0
12 01 tumblr became sentient 1 02 tumblr posted good night animated gif 12 03 tumblr shipped,0,0,0,0,1,0,0,0
ass look horrible oh face,1,0,1,0,0,0,0,0
very little frustrates much misplacing something looking key 2 hour rage,1,0,1,0,0,1,0,0
thank cgi not grow weary good cg i2016,0,1,0,0,1,0,0,0
first time slough so checked new station floor life road,0,1,0,0,1,0,0,0
thus begin 2 week holiday holiday ghastinoir rest,0,1,0,0,1,0,0,1
solution assumption media articles every venue cause animosity conversation,0,1,0,0,0,1,0,0
grateful hungry people life hungry learn change grow help etc not sure anybody better relentless,0,1,0,0,1,0,0,0
so pretty love ky background purple highlight dull colors great,0,0,0,0,1,0,0,1
quad shot every day sleep right time detox get raging migraine without coffee,1,0,1,0,1,1,0,0
actual stranded dad maself n fuckin fire alarm went na not know just gaff whole building,1,0,1,0,0,0,0,0
party divided nation inflame minority population well pander disgrace,1,0,1,0,0,0,0,0
really sad not order goods china like internet fraudsters government really,1,1,1,0,0,1,0,0
sa beautifully sincere balancing act grief hilarity,0,1,0,0,1,0,0,1
another loss city cup next cmon united revenge,1,0,1,0,0,1,0,0
really want read fic found serious room full meme,0,1,0,0,1,1,0,0
so owned loser twitter sad,0,0,1,0,0,1,0,0
amateur author twitter might depressing thing ever seen,0,1,0,0,0,1,0,0
waiting figure like 0 100 real quick irritation,1,0,1,0,0,0,0,0
loved sing tiff 1q 1 japanese line obviously spoken non japanese no way find japanese 1 line,0,0,0,0,1,0,0,1
thinking okay ip party angry old men wrong,1,0,0,0,0,0,0,0
old though imachildofgod whatistwerking sober married bye,0,1,0,0,1,1,0,0
imagine stupid trying chirp racist prick,1,0,1,0,0,0,0,0
tend ick lord christ gi rest weary bless dying soothe uffering pity afflicted shield joyous,0,1,0,0,1,0,0,0
really offer sacrifice daily keep safe,1,0,1,1,0,1,1,0
ti shawty lo beef one more underrated one hip hop history chock full wit bravado hilarity,0,0,0,0,1,0,0,0
meanwhile so called fan sit knitting sleeping not sure certainly not cheering like team fan,0,1,0,0,0,1,0,0
swear block going hit back revenge,1,0,1,0,0,0,0,0
just deleted save file trying load start going freaking kill someone pray,1,0,1,0,0,1,0,0
so look like would rather lose business let apply credit towards change fee due terrorism,0,1,0,1,0,1,0,0
jesus just made think vols v fl game seen never seen win depression,0,0,0,0,0,1,0,0
seems like fight ready rage,1,0,1,0,0,0,0,0
set goal achieve something so big so exhilarating excites scare ame time bob proctor,0,1,0,0,1,0,0,0
tell truth make someone cry better tell lie make someone smile truth lie cry offalonehugots,0,1,0,0,1,1,0,0
sejejs say cibulskis missed time 3rd period due injury would not comment serious apparently not doctor,1,0,0,0,0,1,0,0
adult remain jovial amidst bad news,0,1,0,0,1,0,0,0
neither one see madden,1,1,0,0,1,0,0,0
last episode making murderer poor brendan glad appeal crime documentary reallife,0,0,0,0,1,0,0,0
southampton playing really well youngster matty targett jake hesketh particular austin long formidable front two,0,1,0,0,1,0,0,0
november canola lost 5 50 464 20 per tonne,0,0,0,0,0,0,0,0
very little frustrates much misplacing something looking key 2 hour,1,0,1,0,0,0,0,0
not sad white sox playing record,1,1,0,0,1,1,0,0
brother know know life not danger gun law got people country fearing life white people,1,0,1,1,0,0,0,0
sixth form see 8 30 morning revolting child yr7 assembly,1,1,1,0,0,0,0,0
look available store liquid incense not burn stick cone smoke home,0,0,0,0,1,0,0,0
georgia tech secondary soft marshmallow,0,1,1,0,1,0,0,0
sav tell mom love responds oh,0,1,0,0,1,0,0,1
anxiety drain much energy anxiety sotired needtosleepforhours,0,1,0,1,0,1,0,0
nutella pine green forget nots ivory frozen god,0,0,0,0,1,0,0,0
hillaryclinton follower nervous bernie sander millennials saying yes woman pot jill stein not warmonger,0,1,0,1,0,0,0,0
debates2016 ask trumpone question bully insult people so much more candidate history not leadership,1,0,1,0,0,1,0,0
part debunking panic idea either physical symptom negat thought behavior begin vicious cycle c okay,0,0,0,1,0,0,0,0
26 last night 2am watched ball animated bounce 20 minute figuring wrong,0,1,1,0,0,0,0,0
fosumensa nightmare 15 minute difference premier league reserves league 1 still wide,0,1,1,1,0,1,0,0
presentation propensity hilarity play large part determining funny offens ratio well thoughts go,0,0,1,0,1,0,1,0
no flavour danish far better danish pastry daunting make,0,0,0,1,0,0,0,0
ingle tear joyous deleted monster brought generation despair,0,0,0,0,1,0,0,0
watched tna first time long time hell happened hardyboys impactonpop wwe,0,0,0,0,0,1,0,0
watch amazing broadcast musically,0,1,0,0,1,0,0,0
ever really lonely phone keep blowing just not pick respond people recluse issue,0,0,1,0,0,1,0,0
new gun emoji ios10 not enough show anger towards number things,1,0,1,0,0,0,0,0
trump presidency dark age usa world would definitely take u war short long term pain,1,1,1,0,0,1,0,0
golden ocean day lush gagged sick waste 20 fuming miss,1,0,1,0,0,1,0,0
bow world tank creats rubberbath sting week,0,0,0,0,0,0,0,0
conversion random fellow passenger melbourne yesterday evening youwouldntreadaboutit,0,1,0,0,1,0,0,0
going gi okay police bitch minimum sentence just wattch angry,1,0,1,0,0,1,0,0
fuck fuuck just watch stageschool awful no flatters shocking,1,0,1,0,0,0,0,0
take kindness weakness acting silly keeping 100 not forté breezy chris brown team breezy,0,1,1,0,1,0,0,0
fucked house always hold grudge,1,0,1,0,0,0,0,0
stars shine know feel scent pine know feel freedom mine know feel feelin good,0,1,0,0,1,0,0,0
right choice slam one ignorant man really resent statement king embarrassment,1,0,1,0,0,0,0,0
also car hahahah oh broken let just rearrange car quickly nightmare,0,0,0,1,0,1,0,0
try not let anger seep review resent time wasted books like time precious,1,0,1,0,0,0,0,0
crackheads island not know find so interesting shocking,0,1,1,0,1,0,1,0
slow anger better mighty rule spirit take city p16 32 bibleverse pride anger,1,0,1,0,0,0,0,0
watch amazing broadcast finfin lively musically,0,0,0,0,1,0,0,0
seriously need pop curtain matt filming scare bejesus,0,1,0,1,1,0,0,0
ok really just sunk seeing hour wow,0,1,0,0,1,0,1,0
tell camp not happy purely bojan muni normally fab guy yet completely dejected something not right,1,0,1,0,0,1,0,0
old lady cray cray scared bella so cute empire,0,0,1,1,0,0,0,0
might not pay health insurance like sparkling water brussels sprout so think adult,0,1,0,0,1,0,0,0
so aesthetically pleasing oh god,0,1,0,0,1,0,0,1
reflection grind so real working 2 job school ksudsm ksu recruiter instructor tumble gradschool,0,1,0,0,1,0,0,0
congrats nicole bb18 fix nose bitter petty,0,0,1,0,0,0,0,0
angelic comrade flutter,0,1,0,0,1,0,0,0
very old person not handle stuff laughing loud just left get back sober,0,1,0,0,0,0,0,0
old sadly,0,1,0,0,0,1,0,0
depressing,0,1,1,0,0,1,0,0
go butterfly stomach nervous anxietyproblems,0,0,0,1,0,0,0,0
hi monica write regularly not bee never dared try buzz hone,0,0,0,0,1,0,0,0
grim find broken matt hardy delete everything laughing loud,0,0,0,0,1,0,0,1
people already talk halloween get dark music go gothic bloody halloween horror night,0,0,0,1,0,0,0,0
september still battling situation said handled march year unacceptable unhappy,1,0,0,0,0,1,0,0
life went happy unhappy,0,0,0,0,0,1,0,0
fucking muppet fuming stalker,1,0,0,0,0,0,0,0
forever angry gh ruined molly morgan bond friendship bitter,1,0,1,0,0,1,0,0
not giving fuck better revenge,1,0,1,0,0,0,0,0
so just opened message brooke sent got weak fuck fucking bully no reason,1,0,1,0,0,0,0,0
gundlach calling rounding top doom gloom 15 move,0,0,1,0,0,1,0,0
luke 1 14 joy delight many rejoice birth,0,1,0,0,1,0,0,1
sadly constitutional right abortion yet constitutional right life safety net protects right,0,0,0,0,0,1,0,0
discriminate generates hate hate bound get irate,1,0,1,0,0,0,0,0
ah got work much rejoicing laughing loud thanks get taht,0,1,0,0,1,0,0,0
1pet 7 end things hand ye therefore sober watch unto prayer,0,1,0,0,1,1,0,0
inconsolable gif context,0,1,1,0,0,1,1,0
apparently supposed scottish accent offended,1,0,1,0,0,0,0,0
so depressing watch news today 100 bullet news 10 rape wrong people india shameless depressing,1,1,1,0,0,1,0,0
would just gi naked body,0,1,0,0,1,0,1,0
getting ready open tasting whisky shop dufftown autumn festival panic murraymcdavid whisky dram,0,1,0,1,1,0,0,0
lmao awe,0,1,0,0,1,0,0,0
trump king relentless self promoter not gi rip anyone else perfect match donalds,1,0,1,0,0,0,0,0
day made let u rehoi rejoice glad aja good morning,0,0,0,0,1,0,0,1
not get people leave phone not disturb day mom not threaten not respond within second,1,0,1,0,0,0,1,0
feeling worthless always,0,1,0,0,0,1,0,0
lmboo using nephew meme,0,0,0,0,1,0,0,0
so yeah home still feeling mixed inside kind gloomy little more optimistic figure,0,1,0,0,1,1,0,0
miss little caramel delight,0,0,0,0,1,1,0,1
stayed hotel packed picnic lunch take road better together,0,0,0,0,1,0,0,0
so true well said seems old fashioned looking back liked robbie tv not loving movie aghast,1,0,1,0,0,1,0,0
false alarm not coming today,0,0,0,0,0,1,0,0
taguchi engineering fashionable hale hearty little game optimization mqnaocu,0,0,0,0,0,0,0,0
many tweet fast going god love sober intelligent,0,1,0,0,1,0,0,1
overwhelming sadness too shall pass lost lonley startingover,0,1,1,0,0,1,0,0
mm nothing like good old fashioned panic induced cry living room floor,0,0,0,1,0,1,0,0
xdd sa song not weary,0,1,0,0,1,0,0,0
so starved content take def pout ઘ,0,1,0,0,0,1,0,0
awareness seek shelter letgo old habit chasing desire resultin anger fear worry choose satisfaction within peace relax,1,1,0,1,1,0,0,0
more hearty italian man,0,1,0,0,1,0,0,0
realising no conditioner already shampooing nightmare,1,0,1,1,0,1,0,0
sorry just angry drone flew away,1,0,1,0,0,0,0,0
poor packaging amazon fulfilled seller furious much,1,0,1,0,0,1,0,0
not think cadre not getting src deployment would make cadre so bitter ku tough macom,1,1,1,0,0,0,0,0
ok scrubbed hand 5 time trying put eyeball burning even more blind accidentally scared cat whilst screeching,0,0,0,1,0,1,0,0
terror test,0,0,1,1,0,0,0,0
umm blog say simon stehr faking 7th expect investigation forthwith,1,1,0,0,0,0,0,0
no idea came air directing 7pm shocking,1,0,0,1,0,0,1,0
not just mine forlorn,0,0,0,0,1,0,0,1
hilarity someone literally openly anti science calling others anti science,0,0,0,0,1,0,0,0
go wild start would not surprised sweden win game too much experience panic,1,1,1,1,1,0,0,0
yeah no mind tweetin twice blm like,0,1,0,0,1,0,0,0
girl love perfume something bout,0,1,0,0,1,0,0,1
not nice wishing harm another human deplorable comment show human humane,1,0,1,0,0,1,0,0
american think media nothing government propaganda lie control rigged system distrust garbage oreillyfactor,1,0,1,0,0,0,0,0
panic attack worst feeling really sick still shaking sleep depression,0,0,0,1,0,1,0,0
more like quickie divorce awful,1,0,1,0,0,1,0,0
huff way thank,0,0,0,0,1,1,0,0
lord jesus not want prison want free entice heart beauty truth allow rejoice amen,0,1,0,0,1,0,0,0
california sissified page ruling class separation passage dispirit attestat alphanumeric code wyrdljpyu,1,0,1,0,1,0,0,0
true depression fan get one,0,1,0,0,0,1,0,0
indignation outrage unarmed deaf white man shot killed black officer clt nc,1,0,1,0,0,0,0,0
take so little make child life joyful work so hard make life hell peace,0,0,1,0,0,1,0,0
funeral close casket want play call recording completed lost podcasting talkshoe,0,1,0,0,0,0,0,0
not nice wishing harm another human deplorable comment show human humane bully,1,1,1,0,0,1,0,0
meth documentary exhilarating,0,1,0,0,1,0,0,0
good already hit rock bottom even though two more season away new depth despair playoff nj devil,0,0,0,1,0,1,0,0
overtime team na c h2016 nervous,0,1,0,1,0,1,0,0
look made day without meltdown,0,1,0,0,1,0,0,0
being physical reality reflection so always joyful extends life,0,1,0,0,1,0,0,1
answer scare death not answer so instead just,0,1,0,1,0,1,0,0
term 5 security queue arrival shocking,0,0,0,0,0,0,1,0
recently changed worst service ever encountered nearly require dna access anything awful,1,0,1,1,0,1,0,0
best segment so far hilarity,0,1,0,0,1,0,0,1
fail pass refuse sober,1,0,0,0,0,1,0,0
laughing loud happy negative realistic ass self sorry offend,0,1,0,0,1,1,0,0
ugh want punch wall every time use 10 literally worst product ever made windows10 killme,1,0,1,0,0,1,0,0
india sponsoring terrorism balochistan kulbhushan yadav indian spy agent arrested balochistan pakistani force,0,0,0,1,0,0,0,0
depress,0,1,0,1,0,1,0,0
every day think mind pleasing god decision making way react treat people speak pleasing god,0,1,0,0,1,0,0,1
realest ever relentless ever inevitable win,0,1,0,0,1,0,0,0
look like book shaped like gun itsagunalright,0,0,1,0,0,0,1,0
anxiety right,0,1,0,1,0,1,0,0
wow inadvertently horrible pun definitely thing,0,1,0,0,1,0,0,0
umm dragon fury though,1,0,1,0,0,0,0,0
come come arms not going anywhere tony swear steve told quiet solemn,0,0,0,0,0,0,0,0
no gaming video today old friend mine passed last night so taking time grieve thank stand cancer,0,0,0,0,0,1,0,0
want always reason behind happiness always keep smiling no matter happens,0,1,0,0,1,0,0,1
kind confused one thing right great future hand so new thing lost needhelp,0,0,0,0,0,1,0,0
optimism,0,1,0,0,1,0,0,0
totally get said no donut 13 time one week lost 03 lb get discouraged not linear,0,1,0,0,1,1,0,0
idiot like larry sander scare u moron day rush 2 judge police facts yet freak thug,1,0,1,0,0,0,0,0
chop feel still feel ting look brutal,1,1,1,0,0,0,0,0
happy birthday favorite author horror writer author,0,1,0,0,1,0,0,1
even ays nothing still piss people got decide want make angry,1,0,1,0,0,0,0,0
see michelle so cheery,0,1,0,0,1,0,0,0
evening not forget robin hood hour tonight bizitalk bizhour southyorkshire mansfield hour sheffield hour notts hour,0,1,0,0,1,0,0,0
fuckin hell even seeing face make fume,1,0,1,0,0,0,0,0
anytime get near mic someone need smack bat awful marblesinmouth,1,0,1,0,0,0,0,0
snap hialeshia,0,0,0,0,1,0,0,0
shd embrrssd jack bp med twice still take 3 5 day not express expresscripts,1,0,1,0,0,1,0,0
people call pov kx4 make night,0,1,0,0,1,0,0,1
bridesmaid dress carnal delight addition separate rfpbax,0,1,0,0,1,0,1,0
casuals tweet vic faved making gag bitter,1,0,1,0,0,0,0,0
shabazz name phone easy breezy beautiful not apologize,1,1,1,0,1,0,1,0
chick told look like childish gambino insult compliment,1,1,0,0,0,1,0,0
lowkey forgot twitter not follow back going offended,1,0,1,0,0,1,0,0
anger issue,1,0,1,0,0,0,0,0
e fuck ingle effect tool learned 40 years therapist dr curtis steele psychiatrist stress anxiety,0,0,0,1,0,1,0,0
allowed pereira start taking et piece fuming,1,0,1,0,0,0,0,0
laughing loud ed privileged exasperation bottled sold,1,0,1,0,1,0,0,0
coworker look phone say cheerfully oh look kap getting death threat go say 49ers,0,0,1,0,0,0,0,0
hey sparkling word just picked biz card,0,0,0,0,1,0,0,0
jay z brad pitt cheated bey stayed angie left cheater love lust sex couple relationship date marriage divorce,1,0,1,0,1,1,0,1
texan never play prime time game tn fuck,1,0,1,0,0,0,0,0
flight 815 crashed lost island 2004 lost,0,0,0,0,0,1,0,0
sir hilarious,0,0,0,0,1,0,0,0
everything ever wanted awaits side fear opposite sex ask man,0,0,0,1,0,0,0,0
love so much smile,0,1,0,0,1,0,0,1
make excuse make time not make time regret life coach,0,1,1,0,1,1,0,0
awh tiff great friend love thank,0,0,0,0,1,0,0,1
slugging vitamin pill handful like mandms eternal winter end melbourne grim overit,1,0,1,0,0,1,0,0
get sick stomach everytime see video helicopter crew make comment revolting,1,0,1,0,0,1,0,0
really strange awful dream last night not even eat cheese bed nightmare lovemysleep,0,0,1,1,0,1,0,0
good head good heart always formidable combination nelson mandela,0,1,0,0,1,0,0,1
still bright,0,1,0,0,1,0,0,0
accounts poor first half started showboating game safe,1,0,0,0,0,0,0,0
hell hath not fury like hamstring cramp ouch,1,0,1,0,0,0,0,0
method thin assault corridor thine liveliness chd,1,0,0,0,0,0,0,0
blocking not diminish hilarity observation child like response,1,0,1,0,1,0,0,0
man great job more happy success short time mom dad smiling heaven love brother,0,1,0,0,1,0,0,1
aww maine coon little named ted eddy wonder cat good cat very playful sweet,0,1,0,0,1,0,0,1
celtic sure know send wild shiver spine,0,0,0,1,0,0,0,0
god deliver righteous place salvation no evil shall touch shall grieve,0,1,0,0,1,0,0,0
check film robocoq 301 shortfilms,0,1,0,0,1,0,0,0
great see matilda so happy new chair provide access lots new experiences smiling,0,1,0,0,1,0,0,0
wow bill 44 77 text prove taken 148 swine con,1,0,0,0,0,0,0,0
yes think held grudge,1,0,0,0,0,0,0,0
weird wednesday okay jump scared poop right bad dog bad total code brown favorite pants damnit,1,1,1,1,0,1,0,0
gatherp th strength not try drink pain away sober fighter strong lovely dreamer,0,1,0,0,1,0,0,0
lord thy god midst thee mighty save rejoice thee joy zephaniah 3 17 kjv,0,1,0,0,1,0,0,1
just heard back2back guess call blues got look sing tickle sack version,0,1,0,0,1,0,0,0
much time igi friend lost laptop mourn ask gi laptop charger extra battery,0,1,0,0,0,1,0,0
never afraid start sa new chance rebuild want,0,1,0,0,1,0,0,0
nervous couple day test result confirm life no different whatsoever result two actor divorcing phew,0,0,0,1,0,1,0,0
awe miss sweet smile come visit sometime not working,0,1,0,0,1,1,0,1
like burning rap album buy first gosh darn get rid,1,1,1,0,0,1,0,0
manchester united v manchester city happy day e fuck l,0,0,0,0,1,0,0,0
so ef whichever butt wipe pulled fire alarm davis sound asleep pissed upset tired sad tired hangry,1,0,0,0,0,1,0,0
awful ways just saying way treated aniston alone make nightmare male narcissist avoided,1,0,1,1,0,0,0,0
yeah okay quite bully,1,0,1,0,0,1,0,0
so sad always optimism new year not good,0,1,1,0,0,1,0,0
looking good promoter rock blues,0,1,0,0,1,0,0,0
like half expecting rabid troll come mention accusing csa apologist something lmao,0,1,0,0,1,0,0,0
trial result sadness,0,1,0,0,0,1,0,0
pummeling cheerfully jauntily utterly one sidedly make u harder better faster stronger,0,1,0,0,1,0,0,0
stop horror movie themed commercial suddenly hearing scream really not making want watch twitch anxiety,0,0,0,1,0,0,0,0
soywax limited edition horror candle going follow u latest news,0,0,0,1,1,0,0,0
not want go work want money,0,1,1,0,1,1,0,0
friend tell pretty trigger tell ugly first confused realised pretty ugly tru sad tumblr,0,1,0,0,1,1,0,0
really need pout time getting nerve g,1,1,1,0,0,1,0,0
not wait aid cheerfully grinned,0,0,0,0,1,0,0,0
oh get see texas tech playing tonight not texan tn fuck texansarebad terrible,1,0,1,1,0,1,0,0
still got whole season wentworth watch stupid cunt work ruins u oldcunt,1,0,1,0,0,1,0,0
police officer not right just shoot human being without provocation wrong,1,0,1,1,0,0,0,0
nothing hateful bitter fag,1,0,1,0,0,1,0,0
nice italian ice cream whilst resting tired paw honey flavoured naturally furry tail lost venice,1,1,1,0,1,0,0,1
unruly kid 8am morning nothanks ripping flower bed root parent watch,1,0,1,0,0,1,0,0
google caffeine sprightly lengthening corridor seo wgj,0,0,0,0,1,0,0,0
still shred optimism rapidly disappearing however,0,1,0,0,1,1,0,0
rather laugh rarest genius beautiful alliance kept sadness melancholy,0,0,0,0,1,1,0,0
please stop merriment very annoying,1,0,1,0,0,0,0,0
3 tmobile store original note7 customer zero result going guy customerservice 2hour waittime,1,0,0,0,0,0,0,0
so happy come across notebook handmade would love talk musthave want need happy amazing,0,1,0,0,1,0,0,0
simple get two shot espresso grande decaf 130 degree soy americano extra foam barista nightmare,1,0,1,1,0,0,0,0
smackdev ptp start oh yeah,0,1,0,0,1,0,0,0
concern mine big name fa like malik tell big potential fa steer clear franchise till gu gone,0,1,0,0,0,1,0,0
way wearing mile gave today,0,1,0,0,1,0,0,1
ralso celebrate belief jesus al hell boiling pot shit actual shit,1,0,1,0,0,0,0,0
not offended just something give life more hurt haikuchallenge offend poetry,1,1,1,0,1,0,0,0
not grow weary good treadlines better deadline cg i2016,0,1,0,0,1,0,0,1
never find exact emoji exact moment need nuclear missile indian army,1,0,1,0,0,1,0,0
smiling not necessary means happy sometimes just means strong,0,1,0,0,1,0,0,1
630am meeting olympic house 10golds24 neverquit believe dreambig team tto going4gold,0,1,0,0,1,0,0,0
na kid relentless,1,0,1,0,0,0,0,0
prayer protection brother sister fighting charlotte rage machine,1,1,1,0,1,0,0,0
dude new madden 17 haha,0,0,0,0,1,0,1,0
shoutout ruining iphone 7 order horrible,1,0,1,1,0,1,0,0
luckii changing so many ways sa scary joyful feeling making so strong,0,0,0,1,1,0,0,0
2 day never fucking pen nffc bitter,1,0,1,0,0,1,0,0
street rage 2 hard find itunes stepped guy vinyl made so simple,0,1,0,0,1,0,0,0
like unhappy just leave not cheat someone view love shit,1,1,1,0,0,1,0,0
best moto gp loosing very talented rider shocking,0,0,0,0,0,0,1,0
screened snap kind narcissistic ass would shake head,1,0,1,0,0,0,0,0
action foundational key success pablo picasso inspiring quote action hustle dosomething success,0,1,0,0,1,0,0,0
absolutely shocking decline rooney little embarrassing really,1,0,0,0,0,1,1,0
great programme tonight upsetting extremeworld,1,0,1,0,1,1,0,0
not yet not sunk yet rest,1,0,1,1,0,0,0,0
moving clip youtube tonight vigil held tulsa metropolitan baptist church terence cruther justice anger sadness,1,0,1,0,0,1,0,0
another angry white man,1,0,1,0,0,1,0,0
boy oh boy weekday schedule crazy no matter tired whatever take keep mile kai face frown,0,1,0,0,1,0,0,1
replied comment time shaking oh god,0,1,0,1,1,0,0,1
favorite horror movie ghosthunters,0,0,0,1,0,0,0,0
think defense usc playing well just need fix things offense win pac 12 year,0,1,0,0,1,0,0,0
not want go work want money sad,0,0,0,0,0,1,0,0
meanwhile getting a7 40am train hope really really enjoy hotel shen fuming,1,0,1,0,0,0,0,0
cheerful voice echoed grand familiar home smile blossoming rosy brim mom reciprocated,0,1,0,0,1,0,0,1
endless journey figuring not discouraged not know yet,0,1,0,0,1,0,0,0
nadia bully ill expose,1,1,0,0,0,1,0,0
favourite quote year so far swore parsnip,0,1,0,0,1,0,0,0
irritate inch thick made mask,1,0,1,0,0,0,0,0
whoo welcome greeted cheerfully,0,1,0,0,1,0,0,0
beware fury weak king,0,1,0,1,1,0,0,0
noah ark sa terrific design,0,0,1,1,1,0,0,1
very busy coding whole network manager unity3d based steamworks networking gamedev indiedev 3am dead time horror game,0,0,0,1,0,0,0,0
start 3 song blue neighborhood 1 wild 2 fool 3 talk wesper also too good serious kaz inej feelz,0,0,0,0,1,0,0,1
earth projection good happy true soul poisonous fucking snake patronus adder,1,0,0,0,1,1,0,0
lord make instrument peace hate let sow love injury pardon despair hope,0,1,0,0,1,0,0,0
got alarming,1,0,1,1,0,0,0,0
old fish discourage,1,1,1,0,0,1,0,0
bring back heyday nominate bunkface,0,0,0,0,1,0,0,0
banter craigen sutton bad trip fucking horrid,1,0,1,1,0,0,0,0
not big fan found logical right support no offense anyone,0,1,0,0,1,0,0,0
true go ways receiving end vegan wrath laughing loud personally would not condemn,0,1,0,0,1,0,0,0
